Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-09-03,20MICRONS,EQ,53.85,54.45,54.85,53.15,53.55,53.6,53.79,53659,288644805000.0,647,33348,0.6215
2021-09-06,20MICRONS,EQ,53.6,53.6,54.55,53.6,54.0,53.8,53.94,25839,139362825000.0,493,16629,0.6436000000000001
2021-09-07,20MICRONS,EQ,53.8,54.5,54.5,52.6,53.1,53.15,53.04,42533,225587600000.0,597,29067,0.6834
2021-09-08,20MICRONS,EQ,53.15,53.25,58.4,52.55,55.0,54.7,55.26,142118,785342820000.0,1273,50925,0.3583
2021-09-09,20MICRONS,EQ,54.7,55.0,55.85,54.15,54.5,54.55,54.58,32960,179886405000.0,495,20202,0.6129
2021-09-13,20MICRONS,EQ,54.55,55.7,55.7,53.05,53.95,53.8,53.71,43228,232158479999.99997,649,27670,0.6401000000000001
2021-09-14,20MICRONS,EQ,53.8,54.0,55.3,53.75,54.7,54.0,54.21,69160,374901135000.0,1174,39105,0.5654
2021-09-15,20MICRONS,EQ,54.0,54.8,64.8,54.65,64.8,64.8,61.82,967425,5980906955000.0,7197,456909,0.4723
2021-09-16,20MICRONS,EQ,64.8,67.8,67.8,59.0,60.0,60.3,63.25,965236,6104671065000.0,13154,393635,0.4078
2021-09-17,20MICRONS,EQ,60.3,61.55,62.95,56.5,57.8,57.55,58.71,361544,2122604420000.0,6321,218241,0.6036
2021-09-20,20MICRONS,EQ,57.55,56.85,59.6,56.25,56.4,56.6,58.07,158422,919933360000.0,3047,84955,0.5363
2021-09-21,20MICRONS,EQ,56.6,57.1,57.35,55.2,56.4,56.6,56.49,85691,484052990000.00006,1942,39746,0.46380000000000005
2021-09-22,20MICRONS,EQ,56.6,57.0,58.6,57.0,57.65,57.85,58.0,86139,499601550000.0,1825,40130,0.46590000000000004
2021-09-23,20MICRONS,EQ,57.85,59.05,62.55,58.2,60.5,60.3,60.94,369542,2252100400000.0,5798,147237,0.39840000000000003
2021-09-24,20MICRONS,EQ,60.3,61.2,61.2,59.0,59.15,59.3,60.27,155115,934859890000.0,2049,88800,0.5725
2021-09-27,20MICRONS,EQ,59.3,59.9,60.6,59.25,59.45,59.5,59.89,69283,414906075000.0,1005,38633,0.5576
2021-09-28,20MICRONS,EQ,59.5,59.7,60.55,56.8,58.25,57.9,58.28,110743,645459520000.0,1865,72370,0.6535
2021-09-29,20MICRONS,EQ,57.9,58.25,59.7,57.6,59.25,58.55,58.24,99139,577417640000.0,1402,65285,0.6585
2021-09-30,20MICRONS,EQ,58.55,60.95,65.15,60.7,60.95,61.2,62.63,784831,4915220205000.0,10955,261303,0.3329
2021-10-01,20MICRONS,EQ,61.2,60.9,62.75,60.0,61.1,61.0,61.14,107412,656763575000.0,1940,51026,0.47500000000000003
2021-10-04,20MICRONS,EQ,61.0,61.6,62.45,59.95,60.7,60.8,60.98,111663,680959595000.0,1849,66154,0.5924
2021-10-05,20MICRONS,EQ,60.8,60.65,61.4,60.0,60.1,60.25,60.45,106172,641816200000.0,983,78936,0.7434999999999999
2021-10-06,20MICRONS,EQ,60.25,61.1,64.5,60.5,61.2,61.3,62.45,435161,2717616045000.0,3275,201871,0.46390000000000003
2021-10-07,20MICRONS,EQ,61.3,61.75,63.7,61.5,62.25,61.9,62.53,188941,1181400880000.0,1763,117121,0.6199
2021-10-08,20MICRONS,EQ,61.9,62.8,63.0,60.85,61.7,61.55,61.92,92508,572832055000.0,2149,59750,0.6459
2021-10-11,20MICRONS,EQ,61.55,61.25,62.5,60.5,60.7,60.65,61.45,94847,582811905000.0,1414,61694,0.6505
2021-10-12,20MICRONS,EQ,60.65,61.15,63.9,60.3,63.0,62.95,62.29,259026,1613415335000.0,2395,134522,0.5193
2021-10-13,20MICRONS,EQ,62.95,66.0,66.0,63.0,63.5,63.35,64.53,496773,3205728275000.0,7101,261278,0.526
2021-10-14,20MICRONS,EQ,63.35,64.0,64.6,62.0,62.5,62.35,63.01,111980,705571225000.0,1626,78722,0.703
2021-10-18,20MICRONS,EQ,62.35,62.9,64.5,62.3,62.9,62.7,63.25,207065,1309632740000.0,2026,116557,0.5629
2021-10-19,20MICRONS,EQ,62.7,62.75,64.45,60.8,61.2,61.35,62.8,179978,1130183150000.0,3566,85281,0.47380000000000005
2021-10-20,20MICRONS,EQ,61.35,61.4,63.3,59.95,63.15,62.8,61.74,157664,973348775000.0,2584,94072,0.5967
2021-10-21,20MICRONS,EQ,62.8,64.35,64.85,58.55,60.0,59.55,61.48,440516,2708163630000.0,7866,180754,0.4103
2021-10-22,20MICRONS,EQ,59.55,59.75,62.0,56.7,58.3,58.4,59.52,234159,1393624145000.0,3904,99618,0.4254
2021-10-25,20MICRONS,EQ,58.4,59.05,59.85,55.5,56.95,56.9,56.85,110375,627506890000.0,2310,55342,0.5014000000000001
2021-10-26,20MICRONS,EQ,56.9,56.75,59.0,56.75,58.05,57.85,57.91,67288,389656180000.0,1358,30831,0.4582
2021-10-27,20MICRONS,EQ,57.85,58.7,61.25,58.0,60.0,60.15,59.29,118645,703448995000.0,1598,71359,0.6014
2021-10-28,20MICRONS,EQ,60.15,59.85,60.9,58.5,59.3,59.35,59.51,89417,532156830000.0,1408,45487,0.5086999999999999
2021-10-29,20MICRONS,EQ,59.35,60.0,60.0,58.05,58.35,58.55,58.91,52549,309573585000.0,805,34852,0.6631999999999999
2021-11-01,20MICRONS,EQ,58.55,59.45,59.5,57.6,58.5,58.1,58.4,70239,410173550000.0,1237,29642,0.42200000000000004
2021-11-02,20MICRONS,EQ,58.1,58.3,59.0,58.0,58.6,58.55,58.54,30134,176401830000.0,638,18903,0.6273
2021-11-03,20MICRONS,EQ,58.55,58.95,60.1,58.05,58.2,58.4,58.92,64095,377660980000.0,834,29898,0.46649999999999997
2021-11-04,20MICRONS,EQ,58.4,60.0,60.0,58.75,59.95,59.75,59.62,33522,199873490000.0,423,25797,0.7696
2021-11-08,20MICRONS,EQ,59.75,60.95,60.95,59.25,60.2,60.05,59.85,43840,262371990000.0,749,26227,0.5982000000000001
2021-11-09,20MICRONS,EQ,60.05,60.5,63.8,59.5,61.55,61.65,61.52,251338,1546323735000.0,3000,111339,0.443
2021-11-10,20MICRONS,EQ,61.65,61.0,63.4,60.85,62.95,62.75,62.45,152050,949615419999.9999,1169,110856,0.7291
2021-11-11,20MICRONS,EQ,62.75,62.6,68.0,61.25,66.7,66.1,66.61,1120467,7463552005000.0,10731,495296,0.44200000000000006
2021-11-12,20MICRONS,EQ,66.1,66.15,67.9,64.0,64.4,64.45,65.81,209722,1380139360000.0,3887,99226,0.4731
2021-11-15,20MICRONS,EQ,64.45,64.45,65.15,60.15,61.5,61.45,62.67,151540,949714675000.0,2164,102443,0.6759999999999999
2021-11-16,20MICRONS,EQ,61.45,61.95,63.9,61.6,62.3,62.0,62.6,101220,633596445000.0,2230,52889,0.5225
2021-11-17,20MICRONS,EQ,62.0,61.05,62.85,60.55,61.0,60.9,61.6,73794,454534765000.00006,1323,45563,0.6174000000000001
2021-11-18,20MICRONS,EQ,60.9,61.65,62.7,59.0,60.0,60.25,60.57,99195,600784225000.0,1992,56397,0.5685
2021-11-22,20MICRONS,EQ,60.25,60.25,61.1,56.25,56.25,57.5,58.65,116098,680883510000.0,1682,82148,0.7076000000000001
2021-11-23,20MICRONS,EQ,57.5,57.05,61.4,57.05,60.05,60.15,59.57,129193,769591885000.0,2428,60431,0.4678
2021-11-24,20MICRONS,EQ,60.15,61.45,61.6,60.1,60.3,60.4,60.76,57065,346748625000.0,978,36183,0.6341
2021-11-25,20MICRONS,EQ,60.4,61.1,62.1,60.3,61.35,61.2,61.2,65235,399226630000.0,1261,27078,0.41509999999999997
2021-11-26,20MICRONS,EQ,61.2,61.0,61.0,58.25,60.0,58.95,59.63,89668,534693240000.00006,1288,53559,0.5972999999999999
2021-11-29,20MICRONS,EQ,58.95,60.95,60.95,56.0,57.85,57.55,57.57,84136,484356434999.99994,1289,50873,0.6047
2021-11-30,20MICRONS,EQ,57.55,58.8,60.0,57.5,57.95,58.1,58.61,50358,295171665000.0,834,27968,0.5554
2021-12-01,20MICRONS,EQ,58.1,59.25,59.55,57.5,58.5,58.45,58.48,65712,384289380000.0,952,44652,0.6795
2021-12-02,20MICRONS,EQ,58.45,58.5,58.95,58.0,58.5,58.4,58.43,48957,286033925000.0,812,27580,0.5634
2021-12-03,20MICRONS,EQ,58.4,58.9,59.5,58.2,58.75,58.75,58.81,31382,184553675000.0,669,18442,0.5877
2021-12-06,20MICRONS,EQ,58.75,58.75,60.6,58.0,58.05,58.4,59.28,51176,303396100000.0,1112,26037,0.5088
2021-12-07,20MICRONS,EQ,58.4,58.95,64.1,58.35,62.25,62.25,61.78,182873,1129701125000.0,2432,96696,0.5288
2021-12-08,20MICRONS,EQ,62.25,62.55,63.2,61.4,61.4,61.6,62.04,70321,436289815000.00006,1217,32764,0.46590000000000004
2021-12-09,20MICRONS,EQ,61.6,62.0,62.8,61.0,61.9,61.75,62.0,39763,246521979999.99997,954,23089,0.5807
2021-12-10,20MICRONS,EQ,61.75,61.9,66.2,61.75,63.05,63.15,64.08,256344,1642559980000.0,3280,138178,0.539
2021-12-13,20MICRONS,EQ,63.15,64.55,64.95,63.0,63.3,63.2,63.86,63382,404786520000.0,1277,39958,0.6304
2021-12-14,20MICRONS,EQ,63.2,64.0,64.0,61.55,62.15,62.3,62.5,46660,291620375000.0,975,26566,0.5694
2021-12-15,20MICRONS,EQ,62.3,63.5,74.0,61.65,62.45,62.45,66.65,2685511,17899724000000.0,23662,1221876,0.455
2021-12-16,20MICRONS,EQ,62.45,63.05,64.4,60.15,61.1,61.15,62.36,492105,3068776955000.0,6918,278611,0.5662
2021-12-17,20MICRONS,EQ,61.15,61.45,61.6,58.15,59.25,58.95,59.58,232749,1386744410000.0,3675,141631,0.6085
